major minor  #blocks  name

   1        0       8192 ram0
   1        1       8192 ram1
   1        2       8192 ram2
   1        3       8192 ram3
   1        4       8192 ram4
   1        5       8192 ram5
   1        6       8192 ram6
   1        7       8192 ram7
   1        8       8192 ram8
   1        9       8192 ram9
   1       10       8192 ram10
   1       11       8192 ram11
   1       12       8192 ram12
   1       13       8192 ram13
   1       14       8192 ram14
   1       15       8192 ram15
   7        0      12420 loop0
   7        8      39016 loop1
   7       16        824 loop2
   7       24      41180 loop3
   7       32      29164 loop4
   7       40       9420 loop5
   7       48      29488 loop6
   7       56       3288 loop7
   7       64      40792 loop8
   7       72       8660 loop9
   7       80        640 loop10
   7       88        268 loop11
   7       96      47756 loop12
   7      104      20484 loop13
   7      112       4508 loop14
   7      120      11504 loop15
   8        0       4096 sda
   8       16       4096 sdb
   8       32  999682048 sdc
   8       33        512 sdc1
   8       34       4096 sdc2
   8       35        512 sdc3
   8       36     131072 sdc4
   8       37       1024 sdc5
   8       38      65536 sdc6
   8       39      81920 sdc7
   8       40      98304 sdc8
   8       41       8192 sdc9
   8       42       8192 sdc10
   8       43       8192 sdc11
   8       44       8192 sdc12
   8       45       8192 sdc13
   8       46       8192 sdc14
   8       47      71648 sdc15
 259        0       8192 sdc16
 259        1       8192 sdc17
 259        2       8192 sdc18
 259        3      44032 sdc19
 259        4     136192 sdc20
 259        5     204800 sdc21
 259        6      16384 sdc22
 259        7       1024 sdc23
 259        8      32768 sdc24
 259        9      16384 sdc25
 259       10       2048 sdc26
 259       11       4096 sdc27
 259       12       6144 sdc28
 259       13       4096 sdc29
 259       14       6144 sdc30
 259       15       2048 sdc31
 259       16       2048 sdc32
 259       17       2048 sdc33
 259       18       4096 sdc34
 259       19      65536 sdc35
 259       20      32768 sdc36
 259       21      16384 sdc37
 259       22      98304 sdc38
 259       23     131072 sdc39
 259       24       8192 sdc40
 259       25       8192 sdc41
 259       26       5120 sdc42
 259       27       8192 sdc43
 259       28       8192 sdc44
 259       29       8192 sdc45
 259       30       4096 sdc46
 259       31       8192 sdc47
 259       32       9216 sdc48
 259       33       2048 sdc49
 259       34       3072 sdc50
 259       35        512 sdc51
 259       36      65536 sdc52
 259       37       1024 sdc53
 259       38      25600 sdc54
 259       39     204800 sdc55
 259       40      16384 sdc56
 259       41       1024 sdc57
 259       42      32768 sdc58
 259       43      16384 sdc59
 259       44       2048 sdc60
 259       45       4096 sdc61
 259       46       6144 sdc62
 259       47       4096 sdc63
 259       48       6144 sdc64
 259       49       2048 sdc65
 259       50       2048 sdc66
 259       51       2048 sdc67
 259       52       4096 sdc68
 259       53      65536 sdc69
 259       54      32768 sdc70
 259       55      16384 sdc71
 259       56      98304 sdc72
 259       57     131072 sdc73
 259       58       8192 sdc74
 259       59       8192 sdc75
 259       60       8192 sdc76
 259       61       8192 sdc77
 259       62       8192 sdc78
 259       63       4096 sdc79
 259       64       8192 sdc80
 259       65       9216 sdc81
 259       66       5120 sdc82
 259       67     131072 sdc83
 259       68      10240 sdc84
 259       69      10240 sdc85
 259       70      10240 sdc86
 259       71         64 sdc87
 259       72         64 sdc88
 259       73         64 sdc89
 259       74         64 sdc90
 259       75      65536 sdc91
 259       76      65536 sdc92
 259       77     262144 sdc93
 259       78     131072 sdc94
 259       79      32768 sdc95
 259       80   13107200 sdc96
 259       81  983568352 sdc97
 259       82      16384 sdc98
 259       83      16384 sdc99
   8       48       4096 sdd
 254        0        340 dm-0
 254        1      20584 dm-1
 254        2        340 dm-2
 254        3     323432 dm-3
 254        4    7539824 dm-4
 254        5      14548 dm-5
 254        6     316416 dm-6
 254        7    3191632 dm-7
 254        8      44348 dm-8
 254        9        340 dm-9
 254       10    7398572 dm-10
 254       11     310412 dm-11
 254       12    3131796 dm-12
 254       13     317296 dm-13
 254       14      20112 dm-14
 254       15      43440 dm-15
 254       16         56 dm-16
 254       17      14192 dm-17
 254       18          8 dm-18
 254       19         12 dm-19
   7      128        604 loop16
   7      136       4644 loop17
   7      144      17592 loop18
   7      152       5540 loop19
   7      160      30672 loop20
   7      168      39016 loop21
   7      176      41180 loop22
   7      184        876 loop23
   7      192      10888 loop24
   7      200       8260 loop25
   7      208       7076 loop26
   7      216       4064 loop27
   7      224       1276 loop28
   7      232       3924 loop29
   7      240      46412 loop30
   7      248       4420 loop31
   7      256        824 loop32
   7      264      12420 loop33
   7      272       7004 loop34
   7      280        824 loop35
   7      288      84572 loop36
   7      296        268 loop37
   7      304      23892 loop38
   7      312      14860 loop39
   7      320      21680 loop40
 254       57  983568352 dm-57
   7      328        340 loop41
 254       58          8 dm-58
 254       59       4092 dm-59
 254       60       4092 dm-60
